"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Danny Jansen","TOR","78","305","265","64","12","1","12","38","38","30","60","5","2","1","",".240",".327",".423",".750",".320","","99","-0.3","0.3","","-0.7","6.8","1.9","","364.6","16535"
"Kyle Schwarber","WSN","118","504","426","102","18","1","31","72","77","67","137","5","3","2","",".239",".347",".504",".850",".352","","115","-0.6","-0.1","","9.4","-6.1","1.9","","205.1","16478"
"Jose Iglesias","LAA","130","539","501","137","30","2","10","59","60","24","71","7","7","3","",".274",".314",".400",".714",".303","","88","0.5","1.6","","-7.8","8.1","1.9","","541.1","10231"
"Gio Urshela","NYY","143","579","528","143","28","1","17","68","73","39","102","6","3","1","",".270",".325",".427",".751",".319","","98","-1.1","-0.8","","-2.9","1.6","1.9","","172.7","10681"
"Max Stassi","LAA","78","307","268","59","11","1","11","35","36","30","85","4","2","1","",".221",".307",".392",".699",".300","","86","-0.8","-1.9","","-6.4","4.6","1.8","","424.3","10059"
"Dylan Carlson","STL","136","538","477","119","24","3","18","62","65","48","120","5","12","5","",".250",".324",".428",".751",".318","","98","-0.3","7.0","","-2.0","2.8","1.8","","999.0","20126"
"Whit Merrifield","KCR","150","691","627","174","36","4","16","91","66","47","113","7","24","7","",".277",".331",".422",".753",".320","","96","1.9","-2.0","","-1.4","-5.0","1.8","","40.8","11281"
"Tommy La Stella","SFG","105","462","410","116","23","3","11","58","49","41","44","5","2","1","",".283",".353",".432",".785",".336","","109","-0.5","-1.6","","4.9","-1.9","1.8","","393.6","12371"
"Miguel Rojas","MIA","128","537","485","131","26","2","10","57","51","38","71","7","9","4","",".269",".329",".389",".718",".307","","92","-0.6","0.4","","-6.2","6.8","1.7","","522.1","7802"
"Lourdes Gurriel Jr.","TOR","136","577","533","144","29","1","27","76","87","32","131","6","8","4","",".271",".317",".481",".799",".333","","108","-0.8","-0.5","","4.9","-7.3","1.7","","87.1","19238"
"Gary Sanchez","NYY","101","419","367","81","14","1","26","57","66","41","123","6","1","1","",".222",".308",".475",".783",".326","","103","-0.8","-3.1","","0.7","5.3","1.7","","152.9","11442"
"Jose Abreu","CHW","150","658","600","163","33","1","34","87","102","42","151","11","2","1","",".272",".328",".498",".826",".343","","115","-1.5","-4.3","","11.4","-17.1","1.7","","41.5","15676"
"Jesse Winker","CIN","110","472","400","110","20","1","19","64","62","59","90","8","3","1","",".275",".376",".476",".852",".361","","120","-0.9","-3.7","","11.7","-9.5","1.7","","208.5","13590"
"Roberto Perez","CLE","89","350","306","63","11","1","12","37","38","35","108","4","1","0","",".207",".294",".364",".658",".284","","72","-1.1","4.5","","-13.8","11.9","1.7","","535.4","2900"
"Cesar Hernandez","CLE","131","567","496","133","26","1","10","67","53","58","110","5","6","2","",".269",".349",".386",".735",".319","","95","0.2","-1.3","","-3.5","0.9","1.7","","401.8","10556"
"Carson Kelly","ARI","90","353","307","74","15","1","12","39","42","36","73","4","1","1","",".242",".326",".413",".740",".313","","90","-0.4","-0.3","","-5.1","7.2","1.7","","264.0","13620"
"Willi Castro","DET","134","561","514","135","24","6","15","64","63","33","129","7","9","4","",".264",".314",".417",".731",".310","","90","-0.4","-1.8","","-7.5","4.9","1.7","","232.0","17338"
"Brandon Belt","SFG","123","533","449","113","27","2","19","68","65","72","119","5","3","1","",".251",".358",".446",".804",".342","","113","-1.3","2.3","","7.8","-7.9","1.7","","491.7","10264"
"Kolten Wong","MIL","133","564","493","128","24","4","11","65","55","51","92","12","15","5","",".259",".340",".392",".733",".315","","92","1.1","1.4","","-4.8","3.6","1.7","","244.8","12532"
"J.D. Davis","NYM","98","418","367","95","18","1","17","53","55","40","99","5","2","1","",".258",".337",".450",".787",".333","","109","-0.9","-1.9","","4.0","-0.7","1.6","","281.8","16219"
"Austin Riley","ATL","133","535","482","123","22","2","27","66","80","41","141","6","2","1","",".256",".319",".478",".797",".331","","101","-0.5","-2.9","","0.4","-1.1","1.6","","221.6","18360"
"Yandy Diaz","TBR","110","482","409","111","20","2","10","58","50","64","92","3","3","1","",".270",".371",".404",".775",".336","","113","-0.5","1.0","","7.8","-8.2","1.6","","547.0","16578"
"Eddie Rosario","CLE","130","554","512","141","27","1","28","72","88","34","94","2","4","2","",".274",".320",".495",".815",".337","","107","0.1","-1.8","","5.2","-8.4","1.6","","107.2","12155"
"Kyle Lewis","SEA","149","650","576","134","24","1","23","72","77","64","188","4","6","3","",".233",".312",".399",".711",".304","","92","0.3","-2.3","","-6.7","0.1","1.6","","156.4","19508"
"Lorenzo Cain","MIL","123","545","479","126","23","1","11","67","50","51","101","7","15","5","",".263",".340",".387",".727",".315","","92","1.3","1.8","","-4.6","3.2","1.6","","298.1","9077"
"Ryan Jeffers","MIN","75","290","261","67","12","1","11","37","38","21","66","4","2","1","",".259",".320",".443",".763",".322","","99","-0.1","-0.5","","-0.4","5.8","1.6","","425.9","24618"
"Yadier Molina","STL","95","389","358","93","17","1","10","39","45","20","59","6","3","1","",".259",".307",".398",".705",".301","","86","-2.0","2.8","","-9.2","10.7","1.6","","267.6","7007"
"Austin Nola","SDP","81","339","299","74","15","1","9","38","39","32","73","4","2","1","",".249",".328",".393",".721",".310","","92","-0.1","-0.3","","-3.8","5.7","1.6","","202.3","15941"
"Carlos Santana","KCR","146","634","527","127","26","1","24","80","81","98","107","4","2","1","",".241",".361",".433",".794",".339","","109","-0.6","-0.8","","6.9","-13.7","1.5","","294.7","2396"
"Adam Eaton","CHW","126","566","491","128","23","4","14","73","58","57","104","10","9","3","",".261",".348",".409",".757",".326","","104","0.4","-1.6","","3.4","-7.8","1.5","","415.5","11205"
"Nelson Cruz","MIN","133","581","504","130","22","1","32","81","91","62","153","9","1","1","",".258",".348",".497",".845",".350","","118","-2.7","0.0","","10.5","-15.5","1.5","","92.5","2434"
"Shohei Ohtani","LAA","115","492","432","113","21","2","25","68","75","51","133","4","13","5","",".261",".342",".492",".833",".348","","118","-0.1","0.0","","11.5","-13.4","1.5","","154.1","19755"
"Jacob Stallings","PIT","95","372","334","82","18","1","8","36","38","28","85","4","2","1","",".245",".309",".377",".686",".294","","79","-0.5","0.3","","-10.6","8.2","1.5","","497.0","13723"
"Kevin Kiermaier","TBR","122","490","441","101","19","5","14","53","54","37","122","6","14","5","",".230",".296",".391",".687",".291","","83","1.4","5.3","","-9.3","7.3","1.5","","540.8","11038"
"Mitch Haniger","SEA","134","600","520","126","26","2","25","79","70","62","157","9","7","3","",".243",".331",".445",".776",".329","","108","-0.9","-0.2","","5.2","-11.1","1.5","","223.8","14274"
"Manuel Margot","TBR","105","432","387","99","20","2","12","51","48","35","85","3","18","7","",".255",".319",".410",".729",".310","","96","0.7","4.8","","-1.6","1.6","1.5","","246.6","14712"
