"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Brett Phillips","TBR","27","91","78","15","3","1","2","11","9","10","31","5","1",".197",".290",".354",".644",".277","600.9","","3.31","2.11","1.70","14735"
"Connor Chatham","PHI","10","40","38","10","2","0","1","4","5","2","9","0","0",".251",".284",".351",".636",".277","999.0","","3.67","1.21","1.89","sa873984"
"Micker Adolfo","CHW","6","26","24","5","1","0","1","3","3","2","10","0","0",".204",".272",".364",".636",".277","999.0","","1.45","1.57","1.89","sa830303"
"Juan Lagares","LAA","32","106","97","22","4","1","2","13","10","7","24","2","1",".232",".290",".344",".635",".277","999.0","","1.46","1.58","1.61","5384"
"Jose Peraza","NYM","7","27","25","6","1","0","0","3","2","1","4","0","0",".249",".294",".341",".635",".277","999.0","","4.48","3.55","1.95","13593"
"Jack Mayfield","SEA","11","33","31","7","2","0","1","4","4","2","9","0","0",".223",".271",".371",".641",".277","999.0","","6.40","2.41","1.88","15402"
"Guillermo Heredia","ATL","11","39","35","8","2","0","1","4","4","3","10","0","0",".228",".291",".356",".647",".277","999.0","","2.40","3.59","1.87","18721"
"Sherten Apostel","TEX","6","22","20","4","1","0","1","2","2","2","7","0","0",".206",".278",".351",".628",".276","600.4","","4.41","2.18","1.92","21794"
"Jose  Garcia","CIN","57","193","181","43","10","0","3","20","18","8","54","4","2",".236",".281",".350",".631",".276","598.9","","2.24","-0.01","1.39","23378"
"Magneuris Sierra","MIA","32","123","113","28","5","1","1","14","9","7","24","6","2",".247",".293",".335",".628",".276","600.6","","5.50","0.80","1.83","17023"
"Mike Zunino","TBR","92","328","298","56","12","0","14","33","40","23","123","0","0",".188",".260",".377",".637",".276","571.2","","3.07","-0.41","0.78","13265"
"Meibrys Viloria","KCR","13","42","38","9","2","0","1","4","4","3","11","0","0",".231",".296",".322",".618",".275","999.0","","1.98","1.41","1.88","17109"
"Lewis Brinson","MIA","71","251","231","50","10","2","6","27","26","15","73","6","1",".218",".275",".359",".634",".275","596.9","","4.37","0.66","1.13","14352"
"Monte Harrison","MIA","15","50","46","9","2","0","1","6","5","4","20","4","0",".207",".276",".351",".626",".275","598.9","","3.92","2.39","1.89","17216"
"Adolis Garcia","TEX","21","76","72","15","3","0","3","8","9","3","27","1","1",".212",".254",".388",".642",".274","598.2","","4.19","3.80","1.68","19287"
"Kevin Kramer","PIT","10","37","33","7","2","0","1","3","4","3","11","0","1",".226",".285",".342",".627",".274","999.0","","6.06","2.08","1.88","17689"
"Ronnie Dawson","","10","44","39","8","2","0","1","5","4","3","15","1","0",".203",".273",".355",".628",".274","999.0","","4.22","3.47","1.85","19710"
"Austin Hedges","CLE","59","208","186","38","7","0","8","20","24","14","61","2","1",".207",".271",".377",".648",".273","599.8","","2.53","0.45","1.11","12976"
"Kelvin Gutierrez","KCR","7","30","28","7","1","0","0","3","3","2","9","0","0",".238",".300",".309",".610",".273","999.0","","2.64","3.70","1.93","17468"
"Grayson Greiner","DET","48","178","162","34","7","1","5","18","18","13","54","0","0",".208",".274",".351",".624",".273","599.8","","1.97","-0.86","1.19","17062"
"Jason Vosler","SFG","10","42","38","8","2","0","1","4","4","3","12","0","0",".208",".276",".347",".623",".273","600.4","","3.66","3.75","1.83","16686"
"Eli White","TEX","53","195","176","39","8","1","3","21","16","14","58","4","2",".221",".284",".334",".618",".272","999.0","","3.74","0.98","1.36","19346"
"Braden Bishop","SFG","13","50","44","10","2","0","1","5","5","4","13","1","0",".223",".291",".321",".611",".272","999.0","","2.68","1.16","1.84","17806"
"DJ Peters","LAD","10","38","34","7","1","0","1","4","5","3","14","0","0",".193",".276",".339",".615",".272","999.0","","4.31","2.80","1.81","19348"
"Garrett Stubbs","HOU","20","51","45","10","2","0","1","5","5","4","9","1","0",".224",".290",".327",".617",".272","999.0","","2.51","1.83","1.84","18067"
"Tony Wolters","CHC","60","191","168","39","7","1","2","18","16","16","41","0","0",".229",".306",".316",".622",".272","600.8","","2.57","0.49","1.32","11470"
"Jeffrey Bleday","MIA","12","54","49","11","2","0","1","5","5","4","13","0","0",".219",".280",".341",".621",".272","999.0","","2.73","1.58","1.79","sa3011642"
"Joshua Jung","TEX","29","124","113","25","5","0","2","12","12","8","26","2","0",".225",".285",".335",".620",".271","999.0","","4.13","1.81","1.58","sa3011468"
"Jose Trevino","TEX","89","335","313","74","16","0","7","33","34","14","64","1","0",".236",".270",".359",".630",".271","553.1","","2.59","0.02","0.74","16725"
"Aramis Garcia","OAK","49","181","167","35","7","0","6","18","20","12","66","0","0",".208",".266",".357",".623",".271","600.1","","2.52","0.78","1.15","16925"
"Richie Martin Jr.","BAL","17","68","62","14","3","1","1","7","5","4","16","2","1",".221",".276",".342",".619",".270","601.0","","2.62","2.50","1.82","17736"
"Lucius Fox","KCR","7","31","28","6","1","0","0","3","2","2","7","1","0",".229",".295",".309",".605",".270","999.0","","5.16","2.72","1.94","sa914200"
"Mike Freeman","CIN","17","58","51","11","2","0","1","6","5","5","16","0","0",".222",".294",".322",".616",".270","999.0","","2.66","1.69","1.79","11241"
"Jarrod Dyson","KCR","67","232","207","47","7","1","3","28","16","20","41","16","3",".227",".300",".311",".612",".270","600.7","","4.55","1.06","1.86","4866"
"Erik Gonzalez","PIT","68","256","239","57","12","1","4","24","24","11","67","4","2",".237",".274",".349",".623",".270","594.3","","2.98","2.16","1.23","13369"
"Jon Jay","LAA","8","29","27","7","1","0","0","3","2","2","6","0","0",".258",".303",".326",".629",".270","999.0","","1.99","2.34","1.94","5227"
"Luis Alexander Basabe","SFG","10","26","23","5","1","0","0","3","2","3","8","2","0",".213",".304",".285",".589",".269","999.0","","4.79","1.03","1.98","17839"
"Tomas Nido","NYM","52","195","183","41","8","0","5","18","22","10","47","0","0",".222",".265",".358",".624",".269","600.8","","2.46","0.38","1.18","13755"
"Beau Taylor","CIN","8","29","25","5","1","0","0","3","2","3","9","0","0",".198",".294",".299",".592",".269","999.0","","1.61","1.16","1.89","12384"
"Mark Mathias","MIL","13","42","38","8","2","0","1","5","5","4","9","1","0",".207",".286",".315",".601",".268","999.0","","3.64","2.32","1.84","18032"
"Akil Baddoo","DET","54","228","206","41","7","2","6","25","19","19","68","6","2",".199",".271",".342",".613",".268","999.0","","2.41","-1.44","1.20","22168"
"Seby Zavala","CHW","9","28","26","5","1","0","1","3","3","2","11","0","0",".203",".261",".354",".616",".268","999.0","","4.58","2.28","1.88","18887"
"Erick Mejia","KCR","15","42","38","9","2","0","0","4","3","3","11","2","0",".233",".283",".327",".609",".267","999.0","","5.17","2.32","1.93","15817"
"Wilmer Difo","PIT","15","37","33","8","1","0","1","4","3","3","8","0","1",".233",".293",".330",".624",".267","999.0","","3.50","0.84","1.90","14320"
"Jorge Mateo","SDP","21","74","68","15","3","1","1","9","7","4","23","3","1",".220",".264",".351",".615",".266","600.2","","3.29","3.76","1.76","17273"
"Marcus Wilson","BOS","8","27","24","5","1","0","1","3","3","3","9","0","0",".202",".280",".315",".596",".265","999.0","","4.86","2.46","1.89","sa828703"
"Chad Wallach","MIA","63","234","210","43","9","0","5","21","21","19","70","0","0",".203",".276",".320",".596",".265","600.3","","2.15","-0.89","1.00","17161"
"Phil Gosselin","LAA","9","27","25","5","1","0","0","3","3","2","7","0","0",".210",".283",".310",".593",".265","999.0","","2.33","1.79","1.89","10953"
"Anthony Bemboom","LAA","16","53","48","10","2","0","1","5","5","4","13","0","0",".203",".269",".335",".605",".265","999.0","","1.49","0.31","1.78","13854"
"Bubba Starling","KCR","7","27","25","6","1","0","0","3","2","2","8","0","0",".226",".275",".327",".602",".264","999.0","","2.56","1.28","1.93","13356"
"Chris Herrmann","BOS","7","23","20","4","1","0","0","2","2","2","7","0","0",".197",".284",".306",".589",".264","999.0","","1.68","1.84","1.91","9284"
"Jake Noll","WSN","12","40","38","10","2","0","0","4","3","1","9","0","0",".248",".280",".320",".599",".264","999.0","","7.56","1.14","1.90","19703"
"Rodolfo Castro","PIT","7","28","26","5","1","0","1","3","3","1","8","0","0",".208",".250",".369",".618",".264","999.0","","2.52","3.11","1.89","21987"
"Andrew Velazquez","NYY","18","46","42","9","2","0","1","6","4","4","14","2","1",".211",".280",".308",".589",".263","999.0","","4.24","1.32","1.86","14196"
"Khalil Lee","NYM","6","21","19","4","1","0","0","3","2","2","7","1","0",".201",".294",".281",".575",".263","999.0","","6.18","2.92","1.94","19952"
"Mallex Smith","NYM","11","40","36","8","1","0","0","5","3","3","10","2","0",".216",".291",".289",".580",".262","600.7","","7.06","2.57","1.89","13608"
"Tucupita Marcano","SDP","11","47","43","10","1","0","0","5","4","3","7","0","0",".238",".289",".298",".587",".261","999.0","","1.62","0.85","1.86","22871"
"Will Craig","PIT","8","25","23","5","1","0","1","3","3","2","7","0","0",".204",".269",".319",".588",".261","999.0","","3.53","3.78","1.90","19267"
"Jose Siri","HOU","7","29","27","5","1","0","1","3","3","2","10","1","0",".205",".260",".340",".600",".261","999.0","","4.68","2.45","1.90","sa736940"
"Nick Heath","ARI","12","33","29","6","1","0","0","3","2","3","11","3","1",".215",".290",".283",".574",".260","999.0","","3.03","3.14","1.99","19577"
"Jesus Sanchez","MIA","7","24","22","5","1","0","0","2","3","2","6","0","0",".214",".273",".314",".587",".260","601.0","","3.30","2.16","1.92","19913"
"Estevan Florial","NYY","8","28","25","5","1","0","1","3","3","2","11","0","0",".200",".273",".305",".578",".258","999.0","","3.10","1.26","1.88","19151"
"Sandy Leon","MIA","18","63","56","11","2","0","1","5","5","5","17","0","0",".198",".273",".303",".576",".256","999.0","","1.62","0.01","1.74","5273"
"Billy Hamilton","CHW","25","80","72","16","3","0","0","9","4","7","19","7","1",".219",".284",".286",".569",".256","599.3","","5.61","1.23","1.95","10199"
"Ali Sanchez","STL","8","25","23","5","1","0","0","2","2","2","6","0","0",".225",".279",".283",".561",".252","999.0","","2.27","0.44","1.94","18551"
"Drew Butera","LAA","15","46","41","8","2","0","1","4","4","3","12","0","0",".204",".265",".307",".572",".252","999.0","","0.90","-0.18","1.82","3411"
"Michael Reed","OAK","5","20","19","4","1","0","0","2","2","1","7","1","0",".200",".254",".325",".579",".251","999.0","","1.06","0.74","1.95","sa738683"
"Chris Davis","BAL","25","100","89","16","3","0","3","9","10","9","36","0","0",".181",".263",".321",".584",".251","600.5","","1.44","-0.48","1.50","9272"
"Travis Jankowski","PHI","13","36","32","7","1","0","0","4","3","4","10","2","0",".206",".291",".250",".541",".251","999.0","","3.61","1.30","1.92","13768"
"Luke Maile","MIL","7","27","25","5","1","0","0","2","2","2","7","0","0",".203",".264",".285",".549",".246","999.0","","1.42","1.45","1.90","13355"
"JT Riddle","MIN","10","30","29","6","1","0","1","4","4","1","6","0","0",".199",".230",".346",".577",".238","999.0","","3.50","1.87","1.86","17642"
"Kyle Holder","NYY","16","57","53","10","1","0","1","7","7","3","10","1","0",".196",".241",".246",".487",".219","599.9","","4.00","1.07","1.72","sa857840"
