"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Keston Hiura","MIL","144","613","553","139","27","2","29","80","84","42","188","10","5",".251",".318",".466",".785",".334","73.5","","2.34","-0.57","0.61","20003"
"A.J. Pollock","LAD","119","494","450","117","23","2","23","67","70","33","107","6","3",".259",".315",".476",".790",".334","202.3","","4.18","0.43","0.22","9256"
"Gio Urshela","NYY","137","547","498","138","27","1","19","69","75","38","92","2","1",".276",".331",".448",".779",".333","172.7","","2.92","0.09","0.65","10681"
"Ji-Man Choi","TBR","99","390","332","80","19","1","14","46","49","49","94","1","1",".242",".342",".428",".769",".333","582.6","","2.89","-0.43","0.42","5452"
"Brian Anderson","MIA","145","605","534","135","27","2","21","71","78","54","147","2","1",".253",".335",".434",".769",".333","284.7","","2.87","0.43","0.46","18289"
"Bobby Dalbec","BOS","121","497","438","101","19","1","26","62","69","49","174","2","1",".231",".319",".458",".777",".332","260.4","","3.58","-1.27","0.77","19966"
"David Peralta","ARI","130","546","499","137","26","3","17","62","72","40","112","2","1",".275",".332",".441",".773",".332","285.0","","2.09","0.19","0.69","2136"
"Starling Marte","MIA","146","627","577","160","30","4","19","88","73","31","110","25","7",".277",".329",".443",".772",".332","49.9","","3.14","-0.46","1.12","9241"
"Brad Miller","PHI","71","266","232","54","11","2","12","36","37","31","77","2","1",".234",".328",".454",".782",".332","597.8","","4.61","-0.37","0.74","12775"
"Randal Grichuk","TOR","111","466","431","109","23","2","25","64","68","29","113","2","1",".253",".303",".489",".792",".332","298.9","","5.52","-0.03","0.46","10243"
"Bryan Reynolds","PIT","139","574","514","135","28","4","17","73","65","53","139","4","2",".262",".335",".431",".767",".332","330.4","","3.19","0.07","0.29","19326"
"Travis d'Arnaud","ATL","110","439","397","105","19","1","18","53","70","35","102","1","1",".264",".328",".452",".780",".331","137.9","","3.33","-0.01","0.61","7739"
"Jason Heyward","CHC","132","533","461","117","21","3","15","64","60","62","99","6","2",".254",".347",".412",".759",".331","536.0","","2.61","0.71","0.20","4940"
"Gavin Lux","LAD","114","476","430","112","21","3","16","64","58","43","111","8","3",".260",".329",".437",".766",".331","212.4","","4.83","-0.83","0.37","19955"
"Ryan Mountcastle","BAL","134","559","517","143","27","2","21","64","74","31","126","2","1",".277",".320",".457",".777",".331","156.5","","3.92","-0.28","0.70","18373"
"Yoshi Tsutsugo","LAD","94","369","319","74","14","1","16","47","48","45","98","0","0",".231",".329",".436",".765",".330","563.1","","4.13","-0.10","0.38","27459"
"Ryan Braun","","35","138","126","33","7","1","6","17","20","9","28","2","1",".261",".316",".467",".783",".330","600.9","","4.96","0.65","1.51","3410"
"Gary Sanchez","NYY","110","433","382","83","15","0","27","56","67","42","131","0","0",".218",".305",".473",".779",".330","152.9","","3.58","-1.29","1.00","11442"
"Sean Murphy","OAK","103","384","338","81","17","1","16","50","46","41","94","1","1",".240",".328",".434",".762",".330","176.9","","3.54","-0.11","0.38","19352"
"Seth Beer","ARI","12","48","43","11","2","0","2","7","9","4","12","0","0",".248",".329",".428",".757",".330","600.6","","10.18","2.05","1.78","sa3006658"
"Hunter Dozier","KCR","144","603","534","131","27","5","22","75","69","63","160","7","2",".245",".327",".438",".764",".329","231.0","","3.55","1.53","0.45","15117"
"Colton Welker","COL","16","66","60","17","4","0","2","7","8","5","12","0","0",".280",".335",".436",".770",".329","599.1","","5.15","4.15","1.84","sa917962"
"Kole Calhoun","ARI","116","494","429","100","20","2","23","68","64","54","117","3","1",".234",".325",".448",".773",".329","414.8","","4.83","0.66","0.55","11200"
"Luis Robert","CHW","147","615","562","142","27","4","28","88","83","41","185","25","7",".252",".310",".464",".774",".329","34.5","","3.11","-1.84","1.11","20043"
"Jeimer Candelario","DET","138","569","503","124","27","4","19","68","67","57","138","3","2",".248",".331",".427",".758",".329","285.1","","3.73","-0.19","0.23","13621"
"Austin Riley","ATL","129","536","488","121","24","2","26","67","78","39","147","1","1",".249",".310",".465",".774",".329","221.6","","4.99","-0.26","0.68","18360"
"Julio Rodriguez","STL","29","113","103","28","6","1","3","15","17","7","26","2","1",".266",".327",".432",".759",".328","999.0","","3.17","-1.50","1.61","sa917669"
"Whit Merrifield","KCR","150","659","608","171","35","5","15","91","68","41","102","25","7",".282",".331",".430",".762",".328","40.8","","1.36","1.38","1.35","11281"
"Josh Naylor","CLE","126","479","435","117","24","2","14","59","55","39","74","3","1",".268",".332",".427",".759",".328","506.3","","3.96","-0.66","0.58","18839"
"Jesus Aguilar","MIA","126","499","436","109","20","0","20","60","69","51","109","0","1",".250",".330",".433",".763",".328","431.6","","3.41","-0.29","0.42","11342"
"Nick Solak","TEX","133","556","496","132","23","2","16","68","62","47","116","13","3",".266",".336",".418",".753",".327","172.3","","2.30","2.20","0.59","19294"
"Alex Kirilloff","MIN","100","415","382","105","22","2","12","49","49","26","82","5","2",".274",".325",".439",".763",".327","300.9","","4.05","0.70","0.89","20325"
"Jorge Polanco","MIN","137","589","534","145","29","4","16","74","65","44","96","8","3",".272",".330",".430",".760",".327","259.7","","2.68","-0.02","0.52","13152"
"Jedd Gyorko","","53","186","165","40","6","0","9","22","24","19","46","1","0",".243",".323",".441",".763",".327","599.7","","3.22","-0.44","1.24","10816"
"Ramon Laureano","OAK","145","596","525","130","28","2","22","83","72","50","158","12","3",".247",".325",".434",".759",".327","144.5","","2.97","1.82","0.60","17128"
"Trevor Larnach","MIN","8","31","28","7","1","0","1","3","3","3","8","0","0",".260",".327",".433",".760",".327","999.0","","4.88","3.13","1.93","21501"
"Robbie Grossman","DET","129","506","439","110","24","3","12","62","51","59","95","13","3",".249",".342",".401",".744",".326","438.5","","2.53","-0.73","0.78","5254"
"Ryan McMahon","COL","132","518","464","113","23","2","21","62","70","48","160","3","2",".244",".318",".441",".760",".326","233.1","","4.37","-0.76","0.40","15112"
"Byron Buxton","MIN","129","498","462","117","26","4","24","70","71","26","131","16","5",".253",".297",".483",".781",".326","109.9","","3.85","-0.22","0.64","14161"
"Ty France","SEA","129","511","461","119","24","2","17","60","65","33","112","2","1",".258",".325",".428",".753",".326","252.9","","2.85","-0.19","0.33","17982"
"Danny Jansen","TOR","92","348","300","71","14","1","14","41","43","37","69","1","1",".235",".328",".422",".751",".326","364.6","","2.64","0.45","0.52","16535"
"Didi Gregorius","PHI","131","551","504","133","24","3","22","72","82","34","75","6","3",".263",".314",".453",".768",".326","164.3","","1.95","-1.67","0.34","6012"
"D.J. Stewart","BAL","84","334","285","65","13","1","13","41","40","40","88","3","2",".228",".330",".419",".749",".326","586.5","","4.61","0.09","0.60","17766"
"Dansby Swanson","ATL","147","631","563","144","31","3","23","93","78","56","155","12","4",".256",".328",".442",".770",".326","110.4","","3.07","-0.28","0.57","18314"
